otc_category,title,mrp
Thermometer,"Home Apollo Products Covid Essentials Thermometers Thermometers - Total Items ( 6 ) Filter Sort By Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add Apollo Pharmacy",1100
Thermometer,"Home Apollo Products Covid Essentials Thermometers Thermometers - Total Items ( 6 ) Filter Sort By Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add Apollo Pharmacy",1100
Thermometer,"Home Apollo Products Covid Essentials Thermometers Thermometers - Total Items ( 6 ) Filter Sort By Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add Apollo Pharmacy",1100
Thermometer,Thermometers,
Thermometer,Thermometers - Total Items ( 6 ),
Thermometer,"Filter Sort By Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add Apollo Pharmacy Digital Thermometer, 1 Count ₹108 MRP ₹ 120 10% off Add Apollo Pharmacy Digital Fle",120
Thermometer,"Filter Sort By Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add Apollo Pharmacy Digital Thermometer, 1 Count ₹108 MRP ₹ 120 10% off Add Apollo Pharmacy Digital Fle",120
Thermometer,"Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add Apollo Pharmacy Digital Thermometer, 1 Count ₹108 MRP ₹ 120 10% off Add Apollo Pharmacy Digital Flexible Thermomet",120
Thermometer,"Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add Apollo Pharmacy Digital Thermometer, 1 Count ₹108 MRP ₹ 120 10% off Add Apollo Pharmacy Digital Flexible Thermomet",120
Thermometer,"Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add",1100
Thermometer,"Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add",1100
Thermometer,"Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add",1100
Thermometer,"Apollo Pharmacy Non-Contact Infrared Thermometer, 1 Count ₹990 MRP ₹ 1100 10% off Add",1100
Thermometer,"Apollo Pharmacy Digital Thermometer, 1 Count ₹108 MRP ₹ 120 10% off Add",120
Thermometer,"Apollo Pharmacy Digital Thermometer, 1 Count ₹108 MRP ₹ 120 10% off Add",120
Thermometer,"Apollo Pharmacy Digital Thermometer, 1 Count ₹108 MRP ₹ 120 10% off Add",120
